game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 29.120s,https://www.youtube.com/watch?v=3oYWfv1VU18,,solo,2026-01-26,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/mr55pl7y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 33.300s,https://youtu.be/xupFcIusP2s?si=D4j-h7GbzIAj-RfM,,solo,2026-01-22,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z566r3gy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 34.800s,https://www.youtube.com/watch?v=mYMMJUGpFmc,,solo,2026-01-22,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/y8nnvkdy,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=mlnd9v61,PC,2m 38.420s,https://youtu.be/qjH6XMXANpQ?si=4byv3xCDGq6uB2c6,,solo,2026-01-20,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/mep2qj2y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=81w486vq; onvyp7nm=9qjw9k01,PC,39.000s,https://www.youtube.com/watch?v=Sfon_8Y1DT0,,co-op,2026-01-10,3,Pinkhalfmoon,bigmouthbass,Trazzle,,http://www.speedrun.com/iwzombies/run/zx5e3v8m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; onvyp7nm=9qjw9k01,PC,32.000s,https://www.youtube.com/watch?v=sjYDCWE4aGQ,,co-op,2026-01-06,2,Pinkhalfmoon,bigmouthbass,,,http://www.speedrun.com/iwzombies/run/yv55124m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,Xbox One,21m 44.440s,https://www.youtube.com/watch?v=3_ohcDCFKiY,,solo,2025-12-06,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z0k2poem,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 6njo6684=5len58ml,Xbox One,24m 23.150s,https://www.youtube.com/watch?v=uw8lKT6KBrY,,solo,2025-11-22,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yj7xlegy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,Xbox One,16m 30.520s,https://www.youtube.com/watch?v=jrW1dmfBErw,,co-op,2025-11-17,2,Pinkhalfmoon,NATEDOG0026,,,http://www.speedrun.com/iwzombies/run/y8nj34xy,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,Xbox One,21m 9.940s,https://www.youtube.com/watch?v=nFIzj94LcE4,,solo,2025-11-12,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yv5erq6m,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=q65nyr7l; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylq5o7lr=gq792yyl,Xbox One,14m 10.320s,https://www.youtube.com/watch?v=SZ0RHsIMdKY,,solo,2025-10-13,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zx5p7l5m,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=q65nyr7l; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,Xbox One,24m 27.970s,https://www.youtube.com/watch?v=ffHsG-br7og,,solo,2025-10-01,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/z561g85y,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; ylpkr68g=0q5v8d2l,Xbox One,17m 16.760s,https://www.youtube.com/watch?v=QE4Rl_eOiFw,,solo,2025-09-25,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/zp50xpxy,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylq5o7lr=81we9x91,Xbox One,4m 13.000s,https://www.youtube.com/watch?v=uXx6LDsehpk,,solo,2025-09-15,1,Pinkhalfmoon,,,,http://www.speedrun.com/iwzombies/run/yvejg2xm,verified
