"CREDIT: Skrine, Scrappy, Gannon, Freckleston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perfect Times,,,,,Expected Times,,,,,Roughly Best Possible total time (no dogs),,,,,,,,,,,,,,,,,,,,,,,,Shadows of Evil Symbol Guide,,,,,,AAT Info
126,05:02.800,09:48.600,19:20.200,28:51.800,126,05:09.900,10:02.700,19:48.400,29:34.100,,126,4:31:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,05:07.400,09:57.800,19:38.400,29:19.000,127,05:14.600,10:12.200,20:07.000,30:02.000,,127,4:36:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,05:12.000,10:07.000,19:56.800,29:46.600,128,05:19.300,10:21.500,20:25.900,30:30.300,,128,4:42:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,05:16.600,10:16.200,20:15.200,30:14.400,129,05:24.100,10:31.000,20:44.700,30:58.700,,129,4:47:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,05:21.400,10:25.600,20:34.000,30:42.400,130,05:29.000,10:40.700,21:04.000,31:27.500,,130,4:53:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,05:26.000,10:34.800,20:52.600,31:10.400,131,05:33.700,10:50.100,21:23.100,31:56.100,,131,4:58:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,05:30.800,10:44.400,21:11.600,31:38.800,132,05:38.600,10:59.900,21:42.500,32:25.300,,132,5:04:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,05:35.600,10:54.000,21:30.800,32:07.600,133,05:43.500,11:09.800,22:02.100,32:54.700,,133,5:10:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,05:40.400,11:03.600,21:50.000,32:36.400,134,05:48.400,11:19.600,22:21.800,33:24.300,,134,5:15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,05:45.200,11:13.200,22:09.400,33:05.400,135,05:53.300,11:29.400,22:41.700,33:54.000,,135,5:21:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,05:50.000,11:23.000,22:28.800,33:34.600,136,05:58.300,11:39.500,23:01.600,34:23.900,,136,5:27:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,05:55.000,11:32.800,22:48.400,34:04.200,137,06:03.400,11:49.500,23:21.800,34:54.200,,137,5:33:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,05:59.800,11:42.600,23:08.200,34:33.800,138,06:08.300,11:59.600,23:42.000,35:24.700,,138,5:39:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,06:04.800,11:52.600,23:28.200,35:03.800,139,06:13.400,12:09.800,24:02.600,35:55.300,,139,5:45:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,06:10.000,12:02.800,23:48.400,35:34.000,140,06:18.800,12:20.100,24:23.200,36:26.300,,140,5:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,06:15.000,12:12.800,24:08.600,36:04.200,141,06:23.900,12:30.500,24:43.900,36:57.200,,141,5:58:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,06:20.000,12:23.000,24:29.000,36:34.800,142,06:29.000,12:40.900,25:04.800,37:28.600,,142,6:05:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,06:25.200,12:33.200,24:49.400,37:05.600,143,06:34.300,12:51.300,25:25.700,38:00.100,,143,6:11:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,06:30.400,12:43.600,25:10.000,37:36.600,144,06:39.700,13:02.100,25:46.800,38:31.800,,144,6:18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,06:35.600,12:54.000,25:31.000,38:07.800,145,06:45.000,13:12.700,26:08.300,39:03.800,,145,6:25:18,,,,,,,,,,,,,,,,,,,,,,,Symbol 5,,,,,,
146,06:40.800,13:04.400,25:51.800,38:39.200,146,06:50.300,13:23.400,26:29.700,39:36.000,,146,6:32:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,06:46.000,13:15.000,26:13.000,39:10.800,147,06:55.700,13:34.200,26:51.300,40:08.400,,147,6:39:05,,,,,,,,,,,,,,,,,,,,,,,Only see top half of the triangle (Could be less | Depends on angle),,,,,,
148,06:51.400,13:25.600,26:34.200,39:42.800,148,07:01.200,13:45.100,27:13.100,40:41.200,,148,6:46:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,06:56.800,13:36.400,26:55.600,40:14.800,149,07:06.700,13:56.200,27:35.100,41:13.900,,149,6:53:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,07:02.200,13:47.200,27:17.200,40:47.200,150,07:12.200,14:07.200,27:57.100,41:47.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,07:07.600,13:58.000,27:38.800,41:19.600,151,07:17.800,14:18.300,28:19.300,42:20.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,07:13.000,14:08.800,28:00.600,41:52.400,152,07:23.300,14:29.400,28:41.600,42:54.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,07:18.400,14:19.800,28:22.600,42:25.200,153,07:28.900,14:40.700,29:04.200,43:27.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,07:24.000,14:30.800,28:44.600,42:58.400,154,07:34.600,14:51.900,29:26.700,44:01.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,07:29.600,14:42.000,29:07.000,43:31.800,155,07:40.300,15:03.400,29:49.600,44:35.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,07:35.200,14:53.200,29:29.200,44:05.400,156,07:46.000,15:14.800,30:12.500,45:10.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,07:40.800,15:04.400,29:51.800,44:39.200,157,07:51.800,15:26.300,30:35.600,45:44.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,07:46.400,15:15.800,30:14.600,45:13.200,158,07:57.500,15:37.900,30:58.900,46:19.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,07:52.200,15:27.200,30:37.400,45:47.400,159,08:03.500,15:49.700,31:22.300,46:54.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,07:58.000,15:38.800,31:00.400,46:22.000,160,08:09.400,16:01.600,31:45.800,47:30.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,08:03.600,15:50.200,31:23.400,46:56.600,161,08:15.200,16:13.300,32:09.300,48:05.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,08:09.400,16:01.800,31:46.600,47:31.400,162,08:21.100,16:25.100,32:33.200,48:41.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,08:15.400,16:13.600,32:10.000,48:06.600,163,08:27.300,16:37.300,32:57.200,49:17.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,08:21.200,16:25.400,32:33.600,48:41.800,164,08:33.200,16:49.400,33:21.300,49:53.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,08:27.200,16:37.200,32:57.400,49:17.400,165,08:39.300,17:01.500,33:45.700,50:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,08:33.200,16:49.200,33:21.200,49:53.200,166,08:45.400,17:13.700,34:10.000,51:06.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,08:39.200,17:01.200,33:45.200,50:29.200,167,08:51.600,17:26.000,34:34.700,51:43.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,08:45.200,17:13.200,34:09.200,51:05.200,168,08:57.700,17:38.300,34:59.200,52:20.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,08:51.200,17:25.200,34:33.400,51:41.600,169,09:04.000,17:50.500,35:24.100,52:57.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,08:57.400,17:37.600,34:58.000,52:18.400,170,09:10.300,18:03.400,35:49.300,53:35.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,09:03.400,17:49.800,35:22.400,52:55.200,171,09:16.400,18:15.800,36:14.300,54:13.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,09:09.600,18:02.200,35:47.200,53:32.200,172,09:22.800,18:28.500,36:39.800,54:51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,09:15.800,18:14.600,36:12.000,54:09.400,173,09:29.100,18:41.200,37:05.200,55:29.200,,,,,,,,,,,,,,,,,,,,,,,,,,Symbol 6,,,,,,
174,09:22.000,18:27.000,36:37.000,54:47.000,174,09:35.500,18:53.900,37:30.700,56:07.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,09:28.400,18:39.600,37:02.200,55:24.600,175,09:42.100,19:06.800,37:56.500,56:46.100,,,,,,,,,,,,,,,,,,,,,,,,,,Usually see both triangles,,,,,,
176,09:34.600,18:52.200,37:27.400,56:02.600,176,09:48.400,19:19.700,38:22.400,57:25.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,09:41.000,19:05.000,37:52.800,56:40.600,177,09:55.000,19:32.900,38:48.400,58:04.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,09:47.400,19:17.800,38:18.400,57:19.000,178,10:01.500,19:46.000,39:14.600,58:43.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,09:53.800,19:30.600,38:44.000,57:57.600,179,10:08.100,19:59.100,39:40.900,59:23.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,10:00.400,19:43.600,39:10.000,58:36.400,180,10:14.800,20:12.400,40:07.500,01:00:02.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,10:06.800,19:56.400,39:35.800,59:15.200,181,10:21.400,20:25.500,40:33.900,01:00:42.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,10:13.400,20:09.600,40:02.000,59:54.400,182,10:28.200,20:39.000,41:00.800,01:01:22.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,10:20.000,20:22.800,40:28.400,01:00:34.000,183,10:34.900,20:52.500,41:27.800,01:02:03.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,10:26.600,20:36.000,40:54.800,01:01:13.600,184,10:41.600,21:06.100,41:54.800,01:02:43.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10:33.200,20:49.200,41:21.400,01:01:53.400,185,10:48.400,21:19.600,42:22.000,01:03:24.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,10:39.800,21:02.600,41:48.000,01:02:33.400,186,10:55.100,21:33.300,42:49.300,01:04:05.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,10:46.600,21:16.000,42:14.800,01:03:13.800,187,11:02.100,21:47.000,43:16.900,01:04:47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,10:53.200,21:29.400,42:41.800,01:03:54.200,188,11:08.900,22:00.800,43:44.500,01:05:28.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,11:00.000,21:43.000,43:09.000,01:04:35.000,189,11:15.900,22:14.700,44:12.300,01:06:10.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,11:07.000,21:56.800,43:36.400,01:05:16.000,190,11:23.000,22:28.900,44:40.300,01:06:52.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,11:13.800,22:10.400,44:03.800,01:05:57.000,191,11:30.100,22:42.900,45:08.500,01:07:34.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,11:20.600,22:24.200,44:31.400,01:06:38.400,192,11:36.900,22:56.900,45:36.700,01:08:16.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,11:27.600,22:38.000,44:59.000,01:07:20.000,193,11:44.100,23:11.100,46:05.000,01:08:59.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,11:34.600,22:52.000,45:26.800,01:08:01.800,194,11:51.300,23:25.400,46:33.500,01:09:41.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,11:41.600,23:06.000,45:55.000,01:08:43.800,195,11:58.600,23:39.800,47:02.500,01:10:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,11:48.600,23:20.000,46:23.000,01:09:26.000,196,12:05.700,23:54.100,47:31.200,01:11:08.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,11:55.600,23:34.200,46:51.400,01:10:08.400,197,12:12.900,24:08.600,48:00.300,01:11:51.800,,,,,,,,,,,,,,,,,,,,,,,,,,Symbol 7,,,,,,
198,12:02.800,23:48.400,47:19.800,01:10:51.200,198,12:20.200,24:23.300,48:29.400,01:12:35.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,12:10.000,24:02.800,47:48.400,01:11:34.000,199,12:27.600,24:37.900,48:58.600,01:13:19.300,,,,,,,,,,,,,,,,,,,,,,,,,,Looks like 2 but you can actually see the triangle this time.,,,,,,
200,12:17.200,24:17.200,48:17.200,01:12:17.200,200,12:35.000,24:52.800,49:28.200,01:14:03.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,12:24.400,24:31.600,48:46.000,01:13:00.400,201,12:42.400,25:07.500,49:57.800,01:14:48.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,12:31.600,24:46.000,49:15.000,01:13:44.000,202,12:49.700,25:22.300,50:27.200,01:15:32.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,12:38.800,25:00.600,49:44.200,01:14:27.600,203,12:57.000,25:37.100,50:57.200,01:16:17.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,12:46.200,25:15.200,50:13.400,01:15:11.600,204,13:04.700,25:52.200,51:27.100,01:17:02.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,12:53.600,25:30.000,50:43.000,01:15:55.800,205,13:12.300,26:07.300,51:57.500,01:17:47.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,13:01.000,25:44.800,51:12.400,01:16:40.200,206,13:19.900,26:22.500,52:27.600,01:18:33.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,13:08.400,25:59.600,51:42.200,01:17:24.800,207,13:27.400,26:37.700,52:58.200,01:19:19.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,13:15.800,26:14.600,52:12.200,01:18:09.600,208,13:35.000,26:53.000,53:28.900,01:20:04.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,13:23.400,26:29.600,52:42.200,01:18:54.600,209,13:42.800,27:08.400,53:59.700,01:20:51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,13:31.000,26:44.800,53:12.400,01:19:40.000,210,13:50.600,27:24.000,54:30.800,01:21:37.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,13:38.400,26:59.800,53:42.600,01:20:25.400,211,13:58.200,27:39.400,55:01.700,01:22:23.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,13:46.000,27:15.000,54:13.000,01:21:11.000,212,14:06.000,27:54.900,55:32.700,01:23:10.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,13:53.800,27:30.400,54:43.600,01:21:57.000,213,14:14.000,28:10.800,56:04.300,01:23:57.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,14:01.400,27:45.800,55:14.400,01:22:43.000,214,14:21.700,28:26.500,56:35.500,01:24:44.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,14:09.200,28:01.200,55:45.400,01:23:29.400,215,14:29.800,28:42.200,57:07.500,01:25:32.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,14:17.000,28:16.800,56:16.400,01:24:16.000,216,14:37.700,28:58.300,57:39.100,01:26:20.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,14:24.800,28:32.400,56:47.600,01:25:02.800,217,14:45.800,29:14.300,58:11.200,01:27:08.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,14:32.600,28:48.000,57:18.800,01:25:49.600,218,14:53.700,29:30.200,58:43.200,01:27:56.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,14:40.400,29:03.600,57:50.200,01:26:36.800,219,15:01.700,29:46.200,59:15.200,01:28:44.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,14:48.400,29:19.600,58:22.000,01:27:24.400,220,15:09.800,30:02.600,59:47.800,01:29:33.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,14:56.200,29:35.400,58:53.600,01:28:12.000,221,15:17.900,30:18.800,01:00:20.300,01:30:22.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,15:04.200,29:51.400,59:25.600,01:28:59.800,222,15:26.100,30:35.200,01:00:53.000,01:31:11.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,15:12.200,30:07.400,59:57.600,01:29:47.800,223,15:34.300,30:51.500,01:01:25.700,01:32:00.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,15:20.200,30:23.400,01:00:29.800,01:30:36.200,224,15:42.600,31:08.000,01:01:59.000,01:32:49.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,15:28.400,30:39.600,01:01:02.200,01:31:24.600,225,15:50.900,31:24.600,01:02:32.100,01:33:39.600,,,,,,,,,,,,,,,,,,,,,,,,,,Symbol 8 & 9,,,,,,
226,15:36.400,30:55.800,01:01:34.600,01:32:13.400,226,15:59.100,31:41.100,01:03:05.000,01:34:29.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,15:44.600,31:12.200,01:02:07.200,01:33:02.200,227,16:07.500,31:58.000,01:03:38.700,01:35:19.600,,,,,,,,,,,,,,,,,,,,,,,,,,8 and 9 are hard to tell apart. 8 looks curvier and you see less than 9 | See how the back of the triangle is more pointy on 9,,,,,,
228,15:52.800,31:28.600,01:02:40.000,01:33:51.400,228,16:15.900,32:14.700,01:04:12.300,01:36:09.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,16:01.000,31:45.000,01:03:12.800,01:34:40.800,229,16:24.300,32:31.600,01:04:45.900,01:37:00.500,,,,,,,,,,,,,,,,,,,,,,,,,,(Below is 8),,,(Below is 9),,,
230,16:09.400,32:01.600,01:03:46.000,01:35:30.400,230,16:32.900,32:48.600,01:05:19.900,01:37:51.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,16:17.600,32:18.000,01:04:19.000,01:36:20.000,231,16:41.300,33:05.300,01:05:53.800,01:38:42.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,16:26.000,32:34.800,01:04:52.400,01:37:10.000,232,16:50.000,33:22.600,01:06:27.900,01:39:33.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,16:34.400,32:51.600,01:05:26.000,01:38:00.400,233,16:58.500,33:39.700,01:07:02.200,01:40:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,16:42.800,33:08.400,01:05:59.600,01:38:50.800,234,17:07.200,33:57.000,01:07:36.800,01:41:16.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,16:51.200,33:25.200,01:06:33.400,01:39:41.400,235,17:15.800,34:14.200,01:08:11.200,01:42:08.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,16:59.600,33:42.200,01:07:07.200,01:40:32.200,236,17:24.400,34:31.600,01:08:46.000,01:43:00.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,17:08.200,33:59.200,01:07:41.200,01:41:23.400,237,17:33.200,34:49.000,01:09:20.800,01:43:53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,17:16.600,34:16.200,01:08:15.400,01:42:14.600,238,17:41.700,35:06.500,01:09:55.800,01:44:45.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,17:25.200,34:33.400,01:08:49.800,01:43:06.200,239,17:50.500,35:24.100,01:10:31.100,01:45:38.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,17:34.000,34:50.800,01:09:24.400,01:43:58.000,240,17:59.600,35:42.000,01:11:06.600,01:46:31.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,17:42.600,35:08.000,01:09:59.000,01:44:49.800,241,18:08.400,35:59.500,01:11:42.100,01:47:24.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,17:51.200,35:25.400,01:10:33.800,01:45:42.000,242,18:17.200,36:17.400,01:12:17.700,01:48:17.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,18:00.000,35:42.800,01:11:08.600,01:46:34.400,243,18:26.200,36:35.300,01:12:53.400,01:49:11.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,18:08.800,36:00.400,01:11:43.600,01:47:27.000,244,18:35.200,36:53.200,01:13:29.100,01:50:05.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,18:17.600,36:18.000,01:12:19.000,01:48:19.800,245,18:44.300,37:11.200,01:14:05.400,01:50:59.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,18:26.400,36:35.600,01:12:54.200,01:49:12.800,246,18:53.300,37:29.300,01:14:41.400,01:51:54.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,18:35.200,36:53.400,01:13:29.800,01:50:06.000,247,19:02.300,37:47.500,01:15:18.100,01:52:48.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,18:44.200,37:11.200,01:14:05.400,01:50:59.600,248,19:11.600,38:05.700,01:15:54.600,01:53:43.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,18:53.200,37:29.200,01:14:41.200,01:51:53.200,249,19:20.800,38:24.200,01:16:31.300,01:54:38.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,19:02.200,37:47.200,01:15:17.200,01:52:47.200,250,19:30.000,38:42.600,01:17:08.100,01:55:33.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,19:11.200,38:05.200,01:15:53.200,01:53:41.200,251,19:39.200,39:01.000,01:17:45.000,01:56:28.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,19:20.200,38:23.200,01:16:29.400,01:54:35.600,252,19:48.400,39:19.700,01:18:22.000,01:57:24.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,19:29.200,38:41.400,01:17:05.800,01:55:30.000,253,19:57.700,39:38.200,01:18:59.300,01:58:20.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,19:38.400,38:59.600,01:17:42.200,01:56:24.800,254,20:07.100,39:56.800,01:19:36.600,01:59:16.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,19:47.600,39:18.000,01:18:19.000,01:57:19.800,255,20:16.500,40:15.600,01:20:14.300,02:00:13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
